식당명,주소,위도,경도,거리(km),"{ name: '식당명', address: '주소', latitude: 위도, longitude: 경도, distance: 거리(km) },",,,,,
메가엠지씨커피 제2테크노밸리점,경기도 성남시 수정구 시흥동 340 1층 A-104호 ,37.41183332,127.0961746,0.48,"{ name: '메가엠지씨커피 제2테크노밸리점', address: '경기도 성남시 수정구 시흥동 340 1층 A-104호 ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
바돈바 돈가스,경기도 성남시 수정구 시흥동 340 1층 A-105호 ,37.41183332,127.0961746,0.48,"{ name: '바돈바 돈가스', address: '경기도 성남시 수정구 시흥동 340 1층 A-105호 ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
스텝밀,"경기도 성남시 수정구 시흥동 340 1층 B-105, B-106호(B동) ",37.41183332,127.0961746,0.48,"{ name: '스텝밀', address: '경기도 성남시 수정구 시흥동 340 1층 B-105, B-106호(B동) ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
언버튼,경기도 성남시 수정구 시흥동 340 판교글로벌비즈센터 A-107호,37.41183332,127.0961746,0.48,"{ name: '언버튼', address: '경기도 성남시 수정구 시흥동 340 판교글로벌비즈센터 A-107호', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
영양사가 차려주는 밥상,"경기도 성남시 수정구 시흥동 340 B-110, B-111, B-112호 ",37.41183332,127.0961746,0.48,"{ name: '영양사가 차려주는 밥상', address: '경기도 성남시 수정구 시흥동 340 B-110, B-111, B-112호 ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
이에스에프피(ESFP),경기도 성남시 수정구 시흥동 340 1층 A-101호 ,37.41183332,127.0961746,0.48,"{ name: '이에스에프피(ESFP)', address: '경기도 성남시 수정구 시흥동 340 1층 A-101호 ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
판교제일순대국,경기도 성남시 수정구 시흥동 340 판교 글로벌비즈센터 B동 108호,37.41183332,127.0961746,0.48,"{ name: '판교제일순대국', address: '경기도 성남시 수정구 시흥동 340 판교 글로벌비즈센터 B동 108호', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
푸르나다(Frunada),경기도 성남시 수정구 시흥동 340 1층 B-107호 ,37.41183332,127.0961746,0.48,"{ name: '푸르나다(Frunada)', address: '경기도 성남시 수정구 시흥동 340 1층 B-107호 ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
해루(어),경기도 성남시 수정구 시흥동 340 1층 B-101호 ,37.41183332,127.0961746,0.48,"{ name: '해루(어)', address: '경기도 성남시 수정구 시흥동 340 1층 B-101호 ', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
훅트포케 판교제2테크노밸리점,경기도 성남시 수정구 시흥동 340 판교 글로벌비즈센터 1층 A-108호,37.41183332,127.0961746,0.48,"{ name: '훅트포케 판교제2테크노밸리점', address: '경기도 성남시 수정구 시흥동 340 판교 글로벌비즈센터 1층 A-108호', latitude: 37.41183332, longitude: 127.0961746, distance: 0.48 },",,,,,
푸주옥설렁탕,경기도 성남시 수정구 시흥동 223 ,37.42022579,127.1018517,0.58,"{ name: '푸주옥설렁탕', address: '경기도 성남시 수정구 시흥동 223 ', latitude: 37.42022579, longitude: 127.1018517, distance: 0.58 },",,,,,
커피나인 판교제2테크노밸리,경기도 성남시 수정구 시흥동 342 판교 디앤써밋 에디션 106호,37.41102744,127.0951896,0.6,"{ name: '커피나인 판교제2테크노밸리', address: '경기도 성남시 수정구 시흥동 342 판교 디앤써밋 에디션 106호', latitude: 37.41102744, longitude: 127.0951896, distance: 0.6 },",,,,,
컴포즈커피 판교제2테크노밸리점,경기도 성남시 수정구 시흥동 342 104호,37.41102744,127.0951896,0.6,"{ name: '컴포즈커피 판교제2테크노밸리점', address: '경기도 성남시 수정구 시흥동 342 104호', latitude: 37.41102744, longitude: 127.0951896, distance: 0.6 },",,,,,
텐퍼센트 제2판교테크노벨리점,경기도 성남시 수정구 시흥동 342 103호,37.41102744,127.0951896,0.6,"{ name: '텐퍼센트 제2판교테크노벨리점', address: '경기도 성남시 수정구 시흥동 342 103호', latitude: 37.41102744, longitude: 127.0951896, distance: 0.6 },",,,,,
다이닝테이블,경기도 성남시 수정구 시흥동 75-11 3층 ,37.41975859,127.1037477,0.64,"{ name: '다이닝테이블', address: '경기도 성남시 수정구 시흥동 75-11 3층 ', latitude: 37.41975859, longitude: 127.1037477, distance: 0.64 },",,,,,
샐러디 판교제2테크노밸리점,경기도 성남시 수정구 시흥동 347 103호,37.41061253,127.0951743,0.64,"{ name: '샐러디 판교제2테크노밸리점', address: '경기도 성남시 수정구 시흥동 347 103호', latitude: 37.41061253, longitude: 127.0951743, distance: 0.64 },",,,,,
카페57에비뉴(Cafe 57 Ave),경기도 성남시 수정구 시흥동 347 1층 102호 ,37.41061253,127.0951743,0.64,"{ name: '카페57에비뉴(Cafe 57 Ave)', address: '경기도 성남시 수정구 시흥동 347 1층 102호 ', latitude: 37.41061253, longitude: 127.0951743, distance: 0.64 },",,,,,
판교옥,"경기도 성남시 수정구 시흥동 347 104호,105호,106호,107호 ",37.41061253,127.0951743,0.64,"{ name: '판교옥', address: '경기도 성남시 수정구 시흥동 347 104호,105호,106호,107호 ', latitude: 37.41061253, longitude: 127.0951743, distance: 0.64 },",,,,,
주니아 판교it센터점,"경기도 성남시 수정구 시흥동 330 판교IT센터 지2층 B208,B209호 ",37.41208455,127.0926462,0.66,"{ name: '주니아 판교it센터점', address: '경기도 성남시 수정구 시흥동 330 판교IT센터 지2층 B208,B209호 ', latitude: 37.41208455, longitude: 127.0926462, distance: 0.66 },",,,,,
홍박사생고기,"경기도 성남시 수정구 금토동 272-32 지하1층,1층 ",37.40967838,127.0982331,0.67,"{ name: '홍박사생고기', address: '경기도 성남시 수정구 금토동 272-32 지하1층,1층 ', latitude: 37.40967838, longitude: 127.0982331, distance: 0.67 },",,,,,
청계산 담백미,"경기도 성남시 수정구 금토동 272 1층,2층 ",37.40922745,127.0977511,0.72,"{ name: '청계산 담백미', address: '경기도 성남시 수정구 금토동 272 1층,2층 ', latitude: 37.40922745, longitude: 127.0977511, distance: 0.72 },",,,,,
